competitor_id,title,authors,year,doi_or_url,geography,system,scale,research_question,managements,spatial_configuration_tested,composition_held_constant,temporal_synchronization_tested,canal_network_modelled,groundwater_modelled,peak_demand_endpoint,return_flow_modelled,uncertainty_tested,closest_overlap,critical_difference,threat_level,verdict,verification_status,notes
C001,"Agro-hydrological models for the assessment of innovative irrigation practices in rice areas","Gilardi, G.L.C.",2025,"https://air.unimi.it/handle/2434/1197648","Lomellina, Italy","Rice irrigation district","District/regional","Assess alternative rice irrigation strategies and water-resource impacts","WFL; DFL; AWD and other strategies","YES - spatially distributed modelling","NO evidence found of fixed composition","Not clearly isolated","YES","YES","Irrigation requirement evaluated","Indirect/ongoing","Model calibration/validation","Very strong local overlap","No clear controlled rearrangement of identical regime proportions","VERY HIGH","COMPETITOR","VERIFIED","Direct local novelty threat."

C002,"QGIS-SWAP-Paddy: a modelling framework to simulate irrigation and aquifer recharge in lowland rice area","Gilardi et al.",2026,"https://doi.org/10.5194/egusphere-egu26-9767","Lomellina, Italy","Rice irrigation district","Regional/spatial","Simulate irrigation and aquifer recharge under contrasting rice irrigation strategies","WFL; DFL; AWD","YES","NO evidence found of fixed composition","Not demonstrated","YES","YES","Irrigation requirement time series","Recharge and future reuse modelling","Calibration and validation reported","Extremely strong methodological and geographic overlap","No demonstrated fixed-composition configuration experiment","VERY HIGH","COMPETITOR","VERIFIED","MODFLOW coupling under development."

C003,"Effect of Alternate Wetting and Drying (AWD) and Other Irrigation Management Strategies on Water Resources in Rice-Producing Areas of Northern Italy","Gilardi et al.",2023,"https://doi.org/10.3390/w15122150","San Giorgio di Lomellina, Italy","Rice irrigation district","~1000 ha district","Evaluate realistic irrigation-management scenarios and their effects on water resources","WFL; AWD; DFL; FTI; DFLearly","Scenario-based","NO","NO","YES","YES/empirical groundwater interaction","YES - timing and seasonal demand discussed","Indirect","Calibrated modelling framework","Direct local precursor","Scenarios change management strategy rather than holding composition constant","VERY HIGH","COMPETITOR","VERIFIED","Important direct precursor."

C004,"Multi-objective two-stage optimization of canal system scheduling in irrigation districts incorporating groundwater dynamic variations","Zhou et al.",2026,"https://www.sciencedirect.com/science/article/pii/S0308521X26001320","China","Cold-region rice irrigation","Irrigation district","Optimize canal scheduling while representing groundwater dynamics","Multiple irrigation allocations","YES","NO evidence","YES - scheduling central","YES","YES","Operational allocation","Canal seepage as groundwater recharge","Scenario and optimisation uncertainty treatment","Strong conceptual overlap","Not a fixed-composition management-mosaic experiment","HIGH","COMPETITOR","VERIFIED","Important recent methodological threat."

C005,"Coupled model for optimizing the water distribution and gate control of the canal system in an irrigation district","Fan et al.",2026,"https://doi.org/10.1016/j.agwat.2025.110117","China","Irrigation canal system","Canal-system scale","Optimize water distribution and gate control","Three scheduling modes","YES","NO","YES - rotational grouping","YES","NO/limited","Operational distribution","NO","Model validation","Strong scheduling overlap","No fixed-composition rice-regime configuration test","HIGH","COMPETITOR","VERIFIED","Shows rotational scheduling is not novel."

C006,"Analysis of Spatial Scenarios Aiding Decision Making for Regional Irrigation Water-Demand Planning","Wen et al.",2007,"https://doi.org/10.1061/(ASCE)0733-9437(2007)133:5(455)","Taiwan","Regional irrigation","Regional","Evaluate spatial irrigation-demand scenarios","Cropping patterns/scenarios","YES","NO","Limited","Canal/spatial context","NO","Regional demand","NO","Meteorological uncertainty considered","Spatial-scenario precedent","Does not isolate management placement with fixed composition","MEDIUM-HIGH","COMPETITOR","VERIFIED","Eliminates generic spatial-planning novelty."

C007,"A GIS-based framework of regional irrigation water demand assessment","Wen et al.",2004,"https://doi.org/10.1007/s10333-004-0037-4","Taiwan","Regional irrigation","Regional","Estimate irrigation demand while preserving spatial variation","Cropping patterns","YES","NO","NO","YES - canal networks among spatial inputs","NO","Regional demand","NO","Not central","Foundational spatial-demand work","No controlled configuration experiment","MEDIUM","BACKGROUND/COMPETITOR","VERIFIED","Important historical precedent."

C008,"Water conveyance, return flows and technology choice","Umetsu and Chakravorty",1998,"https://doi.org/10.22004/ag.econ.174567","Generic irrigation project","Irrigation/conjunctive use","Spatial project model","Analyse spatial water allocation, conveyance losses and return flows","Technology choices","YES - upstream/downstream","NO","NO","YES","YES","Water allocation","YES","Model-based","Direct conceptual overlap with network position and return flows","Not rice-regime fixed-composition design","MEDIUM-HIGH","COMPETITOR","VERIFIED","Important for rejecting 'network position matters' novelty."

C009,"Conjunctive use modeling for multicrop irrigation","Unknown in current extraction",2005,"https://doi.org/10.1016/j.agwat.2004.10.014","India","Reservoir-canal-aquifer system","Command area","Optimize surface-water, groundwater and crop allocations","Multiple crops","Spatial aquifer represented","NO","YES - intraseasonal allocation","YES","YES","Temporal allocations","Aquifer storage","Deterministic model","Strong canal-aquifer temporal allocation precedent","No management-mosaic fixed-composition test","MEDIUM-HIGH","COMPETITOR","VERIFIED","Conceptual precedent."

C010,"Integrated Modeling Framework to Evaluate Conjunctive Use Options in a Canal Irrigated Area","Kumar et al.",2013,"https://doi.org/10.1061/(ASCE)IR.1943-4774.0000614","India","Canal irrigation","Irrigated command","Evaluate surface-groundwater management alternatives","Conjunctive-use levels","Spatial effects considered","NO","NO/limited","YES","YES","Canal supply","Groundwater response","Scenario based","Canal-groundwater management overlap","No fixed-composition spatial regime-placement test","MEDIUM","COMPETITOR","VERIFIED","Useful conceptual background."
C011,"Landscape irrigation management for maintaining an aquifer and economic returns","Kovacs, Kent Forrest; Mancini, Mattia; West, Grant",2015,"https://doi.org/10.1016/j.jenvman.2015.06.028","Arkansas Delta, USA","Irrigated agricultural landscape over shallow aquifer","Landscape/regional","Identify spatial crop and irrigation-practice patterns balancing aquifer conservation and economic returns","Multiple crops including rice; multiple irrigation practices","YES - optimized spatial configurations explicitly evaluated","NO - crop mix, irrigation technology and reservoir composition may change between optimized scenarios","NO - temporal synchronization not isolated","NO comparable collective rice canal-network experiment","YES - spatial aquifer interactions represented","NO - peak operational canal diversion not primary endpoint","Tail-water recovery represented but not equivalent to Lomellina return-flow network","Model/scenario analysis; not configuration-vs-composition uncertainty isolation","Extremely strong conceptual precedent for spatial irrigation configuration and groundwater outcomes","Does not perform repeated spatial permutations with exactly invariant management composition and does not isolate peak canal-demand/synchronization effects","VERY HIGH","COMPETITOR","VERIFIED","Peer-reviewed J Environ Manage article; DOI 10.1016/j.jenvman.2015.06.028. Replaces conference paper as preferred citation where appropriate."
C012,"Modeling water balance components in relation to field layout in lowland paddy fields. II: Model application","Authors to verify from full text",1996,"https://doi.org/10.1016/0378-3774(95)01215-X","Lowland paddy irrigation","Rice/paddy","Large irrigated area","Assess effects of different field layouts and water-management practices on paddy water balance","Contrasting field layouts and water management","YES - field layout explicitly compared","UNCLEAR - not an exact fixed management-composition permutation experiment","NO","YES - irrigation distribution represented","Hydrological context represented","NO explicit operational peak-diversion endpoint","Water-balance components represented","Model application across hydrological conditions","Direct historical paddy precedent showing layout affects hydrology","Does not appear to isolate management-regime composition from hydraulic placement in a canal-groundwater configuration experiment","HIGH","COMPETITOR","VERIFIED","Important because it eliminates novelty based simply on paddy-field layout effects."

C013,"A spatial-temporal optimal allocation method of irrigation water resources considering groundwater level","Authors to verify from article metadata",2023,"https://doi.org/10.1016/j.agwat.2022.108021","China","Irrigation district","District","Optimize irrigation water allocation while dynamically coupling groundwater response","Irrigation-water allocations","YES","NO","YES","YES","YES - groundwater feedback central","Water-allocation constraint","Recharge-groundwater coupling represented","Optimization framework","Very strong spatiotemporal groundwater-allocation precedent","Does not isolate identical management composition under alternative spatial regime placement","HIGH","COMPETITOR","VERIFIED","Eliminates generic novelty of spatial-temporal allocation plus dynamic groundwater coupling."

C014,"Simulation-based optimization for spatiotemporal allocation of irrigation water in arid region","Authors to verify from full text",2021,"https://doi.org/10.1016/j.agwat.2021.106952","Arid-region irrigation","Farmland irrigation","Regional/distributed","Optimize irrigation-water allocation jointly in space and time","Irrigation allocations","YES","NO","YES","Distributed farmland hydrology","Hydrological state represented","NO comparable peak canal-diversion endpoint","NO comparable return-flow network","Simulation-based optimization","Strong precedent for spatial-temporal irrigation allocation","Not a fixed-composition irrigation-regime mosaic in a collective rice canal network","HIGH","COMPETITOR","VERIFIED","Important methodological precedent."

C015,"Coupled SVAT-groundwater model for water resources simulation in irrigated alluvial plains","Authors to verify from full text",2004,"https://www.sciencedirect.com/science/article/abs/pii/S1364815203002603","Padana Plain, Italy","Large alluvial irrigation district","~700 km2","Simulate spatial and temporal crop-water use, recharge and groundwater interaction","Spatial crop and irrigation patterns","YES - spatial management explicitly represented","NO evidence of fixed-composition permutation experiment","Temporal variability represented","Irrigation distribution represented","YES - MODFLOW groundwater coupling","NO configuration-specific peak diversion endpoint","Recharge-groundwater dynamics explicit","Process-based distributed model","Extremely important Italian/Padana hydrological precedent","Does not isolate configuration conditional on identical management composition","VERY HIGH","COMPETITOR","VERIFIED","Strong evidence that coupled irrigation-groundwater modelling in the Po/Padana context is longstanding."
