"EvidenceFamily","FileCount","Status"
"Rice-field / parcel spatial data","0","MISSING"
"Sentinel-1 / radar data","43","PRESENT"
"Hydroperiod / flooding outputs","8","PRESENT"
"Independent flooding validation","0","MISSING"
"Irrigation district / canal network","0","MISSING"
"District groundwater observations","17","PRESENT"
"Soil spatial data","0","MISSING"
"Meteorological data","1","PRESENT"
"GHG evidence / parameters","7","PRESENT"
"Yield / production evidence","16","PRESENT"
"Habitat evidence / indicators","14","PRESENT"
"Scenario / mosaic / optimization outputs","6","PRESENT"
