study_id,year,study_location,evidence_tier,study_type,direct_GHG_measurement,comparison,CH4_direction,N2O_direction,GWP_direction,yield_direction,CH4_effect_pct,N2O_effect_pct,GWP_effect_pct,yield_effect_pct,water_regime,drying_severity,soil_climate_context,transferability_to_Lomellina,evidence_strength,key_limitation,doi
Lagomarsino_2016,2016,Central Italy,A2,Field experiment,yes,AWD_vs_continuous_flooding,decrease,increase,increase,decrease,-97,,,,AWD,strong,Clayey Mediterranean rice,high,high,Strong drying and site-specific N2O response; not directly transferable as an emission factor,10.1016/S1002-0160(15)60063-7
Meijide_2017,2017,Mediterranean rice field Italy,A2,Field experiment,yes,midseason_drainage_vs_flooding,decrease,increase,decrease,contextual,,,,,Mid-season drainage,moderate,Mediterranean rice system,high,high,Drainage regime differs from MEDWATERICE AWD definition,10.1016/j.agee.2016.08.017
Italian_N2O_process_2018,2018,Italy,A2,Field process experiment,yes,AWD_vs_flooding,not_primary,increase,not_primary,not_primary,,,,,AWD,context_specific,Italian rice paddy,high,high,Mechanistic N2O study rather than complete seasonal GHG balance,10.1016/j.soilbio.2018.01.032
Vitali_2024,2024,Temperate Northern Italy,A1,Field experiment,yes,AWD_vs_WFL,decrease,no_clear_increase,decrease,maintained_or_higher,,,,,AWD_safe_and_strong,mild_and_strong,Temperate Italian rice,very_high,high,Two AWD severities and limited seasons; do not transfer exact percentages to Lomellina,10.1016/j.fcr.2024.109550
NorthernItaly_2021,2021,Northern Italy,A1,Field experiment,no,moderate_AWD_vs_CF,not_measured,not_measured,not_measured,maintained,,,,,Moderate AWD,mild,Temperate Italian rice,very_high,high_for_yield,Supports yield response and local agronomic transferability but is not direct GHG flux evidence,10.1016/j.fcr.2021.108220
Carrijo_2017,2017,Global,C,Meta-analysis,no,AWD_vs_CF,not_primary,not_primary,not_primary,context_dependent,,,,,AWD,mild_and_severe,56 studies 528 comparisons,moderate,high_for_yield_and_water,Mild AWD maintained yield while severe AWD caused substantial yield loss; not a GHG meta-analysis,10.1016/j.fcr.2016.12.002
Jiang_2019_FCR,2019,Global,C,Meta-analysis,yes,noncontinuous_flooding_vs_CF,decrease,increase,decrease,slight_decrease,-53,105,-44,-3.6,Multiple non-continuous flooding regimes,mixed,52 studies 201 paired observations,moderate,high,Combines heterogeneous drainage and AWD practices,10.1016/j.fcr.2019.02.010
MidseasonDrainage_2019,2019,Global,C,Meta-analysis,yes,midseason_drainage_vs_CF,decrease,increase,decrease,maintained,-52,242,-47,0,Mid-season drainage,mixed,Global rice systems,moderate,high,Specific to mid-season drainage rather than all AWD implementations,10.1016/j.agwat.2018.12.025
AFM_2024_meta,2024,Global,C,Meta-analysis,yes,AWD_vs_flooding,decrease,increase,decrease,slight_decrease,-47.47,52.20,-39.38,-1.56,AWD,threshold_dependent,Global synthesis 437 literature sources,moderate,high,Strong heterogeneity and threshold dependence,10.1016/j.agrformet.2024.110075
FCR_2024_meta,2024,Global,C,Meta-analysis,yes,AWD_vs_CF,decrease,increase,decrease,maintained,-43.23,42.59,-36.84,1.52,AWD,context_dependent,Global rice systems,moderate,high,Global average cannot be assigned directly to Lomellina,10.1016/j.fcr.2024.109603
Zhao_2024_GCB,2024,Global,C,Meta-analysis,yes,AWD_vs_CF,decrease,increase,decrease,variable,-51.6,44.0,-46.9,,AWD,context_dependent,Global multi-context synthesis,moderate,high,Climate soil pH SOC nitrogen and AWD severity modify outcomes,10.1111/gcb.17581
Minamikawa_2025,2025,Global,C,Meta-synthesis,yes,water_saving_vs_CF,decrease,increase,usually_decrease,uncertain,,,,,AWD_and_multiple_drainage,mixed,Global synthesis,moderate,high_for_directional_synthesis,Review-level synthesis; not a source for Lomellina-specific coefficients,10.1007/s10333-025-01045-4
